iter	Passed	Remaining
800	268	66
801	268	66
802	268	65
803	269	65
804	269	65
805	269	64
806	269	64
807	270	64
808	270	63
809	270	810810	270	63
811	271	812812	271	813813	272	62
814	272	61
815	272	61
816	273	61
817	273	60
818	274	60
819	274	60
820	275	59
821	275	822822	275	59
823	276	59
824	276	825825	276	826826	277	827827	277	828828	277	829829	277	830830	278	831831	278	832832	278	833833	278	834834	279	835835	279	836836	279	837837	279	838838	280	839839	280	840840	280	841841	280	842842	280	843843	281	844844	281	845	279	50
846846	282	847847	282	848848	283	849849	283	850850	283	851851	283	852852	284	853853	284	854854	284	855855	284	856856	285	857857	285	858858	285	859859	285	860860	286	861861	286	862862	286	863863	286	864864	287	865865	287	866866	287	867867	288	868868	288	869869	288	870870	288	871871	289	872872	289	873873	289	874874	289	875	287	40
876876	290	877877	290	878878	290	879879	290	880880	291	881881	291	882	290	38
883	290	38
884	290	37
885	291	37
886	291	37
887	292	36
888888	294	889889	294	890890	294	891891	295	892892	295	893893	295	894894	295	895895	296	896	294	33
897	294	33
898	295	33
899	295	32
900	295	32
901	296	32
902	296	31
903	297	31
904	297	31
905905	299	906906	299	907907	300	908	298	29
909	298	29
910910	300	911911	301	912912	301	913913	302	914914	302	915915	302	916916	303	917917	303	918918	304	919919	304	920920	305	921921	305	922922	305	25
923	305	25
924	306	925925	306	926926	306	927927	307	928928	307	929929	307	930930	308	931931	308	932932	308	933933	308	934934	309	935935	309	936936	309	937937	310	938938	310	939939	310	940	308	19
941	308	19
942	309	18
943	309	18
944	309	18
945	310	17
946	310	17
947	311	17
948	311	16
949	312	16
950	312	16
951	312	15
952	312	15
953	313	15
954954	315	955955	315	956956	315	957957	315	958958	315	959959	316	960	314	12
961	314	12
962	315	12
963	315	11
964	315	11
965	316	11
966	316	10
967	316	10
968	317	10
969	317	9
970	318	9
971	319	9
972	319	8
973	319	8
974	320	8
975	320	7
976	321	7
977977	322978978	322979979	323980980	323981	322	5
982	322	5
983	323	5
984	323	4
985985	324986	324	4
987	324	3
988	324	3
989989	325990990	326991991	326992992	326993	326	1
994	326	1
995	326	1
996	326	0
997	327	0
998	327	0
999	327	0
	0
